case,period,dataset,sample_id,seed,mirror_energy,target_energy,error_energy,hamai_error_db,status,reason
pure_periodic_mirror_error,2,aishell1,sample_001,-1,0.500973358137473,12.524359002117258,0.5009743600846905,-8.68588529757239e-06,ok,
pure_periodic_mirror_error,2,aishell1,sample_002,-1,0.4571822962820114,11.429580266176508,0.4571832106470603,-8.685885286964766e-06,ok,
pure_periodic_mirror_error,2,aishell1,sample_003,-1,0.331553186324502,8.288846235780127,0.33155384943120514,-8.685885281660955e-06,ok,
pure_periodic_mirror_error,2,aishell1,sample_004,-1,1.2484350622117388,31.210938977077603,1.2484375590831043,-8.685885269124671e-06,ok,
pure_periodic_mirror_error,2,aishell1,sample_005,-1,0.5242227416715649,13.10559475293931,0.5242237901175724,-8.685885294197236e-06,ok,
pure_periodic_mirror_error,2,aishell1,sample_006,-1,2.1187793815377756,52.96959047746651,2.118783619098659,-8.68588529853672e-06,ok,
pure_periodic_mirror_error,2,aishell1,sample_007,-1,0.5863833362009523,14.65961272420519,0.5863845089682079,-8.68588527201766e-06,ok,
pure_periodic_mirror_error,2,aishell1,sample_008,-1,0.695173764924189,17.379378881810364,0.6951751552724144,-8.685885297090225e-06,ok,
pure_periodic_mirror_error,2,aishell1,sample_009,-1,0.33223234532147833,8.305825244662511,0.33223300978650055,-8.685885286482602e-06,ok,
pure_periodic_mirror_error,2,aishell1,sample_010,-1,0.28906968045319253,7.226756464821024,0.2890702585928411,-8.685885273464155e-06,ok,
pure_periodic_mirror_error,2,librispeech_test_clean,sample_001,-1,15.799478229108681,394.98774570203375,15.799509828081389,-8.685885419077894e-06,ok,
pure_periodic_mirror_error,2,librispeech_test_clean,sample_002,-1,2.511861305003712,62.79665821822091,2.5118663287288356,-8.685885298054553e-06,ok,
pure_periodic_mirror_error,2,librispeech_test_clean,sample_003,-1,26.84041133602541,671.0116254218816,26.840465016875257,-8.685885349164011e-06,ok,
pure_periodic_mirror_error,2,librispeech_test_clean,sample_004,-1,4.08487188064042,102.12200125970605,4.08488005038824,-8.685885267678176e-06,ok,
pure_periodic_mirror_error,2,librispeech_test_clean,sample_005,-1,19.26100392593101,481.52606119897007,19.261042447958808,-8.685885449454269e-06,ok,
pure_periodic_mirror_error,2,librispeech_test_clean,sample_006,-1,13.41536531457395,335.38480363295423,13.415392145318188,-8.685885357842977e-06,ok,
pure_periodic_mirror_error,2,librispeech_test_clean,sample_007,-1,5.64800352012919,141.20037040354714,5.648014816141887,-8.685885302394037e-06,ok,
pure_periodic_mirror_error,2,librispeech_test_clean,sample_008,-1,14.12411850253834,353.10366876973774,14.124146750789626,-8.685885343378036e-06,ok,
pure_periodic_mirror_error,2,librispeech_test_clean,sample_009,-1,9.40642811820895,235.16117327686635,9.406446931074644,-8.685885318787636e-06,ok,
pure_periodic_mirror_error,2,librispeech_test_clean,sample_010,-1,2.225219810200386,55.630606516055934,2.22522426064224,-8.685885311555166e-06,ok,
pure_periodic_mirror_error,2,timit,sample_001,-1,1.61147494301377,40.28695414913285,1.611478165965289,-8.68588535302133e-06,ok,
pure_periodic_mirror_error,2,timit,sample_002,-1,0.6111421383291689,15.278584015351486,0.61114336061406,-8.685885319269801e-06,ok,
pure_periodic_mirror_error,2,timit,sample_003,-1,0.2962641758341619,7.406619209070241,0.2962647683628099,-8.685885295643731e-06,ok,
pure_periodic_mirror_error,2,timit,sample_004,-1,0.18691935289716852,4.672993168401532,0.1869197267360611,-8.685885292268576e-06,ok,
pure_periodic_mirror_error,2,timit,sample_005,-1,0.126748950200155,3.1687300924545587,0.12674920369818246,-8.68588530576919e-06,ok,
pure_periodic_mirror_error,2,timit,sample_006,-1,0.1881243712582945,4.7031186876806235,0.18812474750722497,-8.685885290822084e-06,ok,
pure_periodic_mirror_error,2,timit,sample_007,-1,0.13234716305369912,3.3086856937039393,0.13234742774815747,-8.685885291786414e-06,ok,
pure_periodic_mirror_error,2,timit,sample_008,-1,0.5565198264792927,13.913023487987573,0.5565209395195021,-8.685885294679401e-06,ok,
pure_periodic_mirror_error,2,timit,sample_009,-1,0.7392018003182825,18.480081968065797,0.7392032787226311,-8.685885346753188e-06,ok,
pure_periodic_mirror_error,2,timit,sample_010,-1,0.22946087675785662,5.7365333919960175,0.22946133567984117,-8.685885325055776e-06,ok,
pure_periodic_mirror_error,4,aishell1,sample_001,-1,0.5010208269648516,12.524359002117258,0.5010220666638133,-1.0745935562277933e-05,ok,
pure_periodic_mirror_error,4,aishell1,sample_002,-1,0.45751379519457713,11.429580266176508,0.4575149265290244,-1.0739166891027887e-05,ok,
pure_periodic_mirror_error,4,aishell1,sample_003,-1,0.33131878589825264,8.288846235780127,0.3313196063533411,-1.0754556987469223e-05,ok,
pure_periodic_mirror_error,4,aishell1,sample_004,-1,1.2480402036286449,31.210938977077603,1.2480432929818481,-1.0750353909512379e-05,ok,
pure_periodic_mirror_error,4,aishell1,sample_005,-1,0.524176467886952,13.10559475293931,0.5241777651183864,-1.0747902492378178e-05,ok,
pure_periodic_mirror_error,4,aishell1,sample_006,-1,2.1195212650888786,52.96959047746651,2.1195265081792654,-1.0743192079528263e-05,ok,
pure_periodic_mirror_error,4,aishell1,sample_007,-1,0.58644913403661,14.65961272420519,0.5864505850894495,-1.0745748009764898e-05,ok,
pure_periodic_mirror_error,4,aishell1,sample_008,-1,0.6944594781608093,17.379378881810364,0.694461198424332,-1.0758007536162528e-05,ok,
pure_periodic_mirror_error,4,aishell1,sample_009,-1,0.33256775043504366,8.305825244662511,0.33256857257076633,-1.0736115150602485e-05,ok,
pure_periodic_mirror_error,4,aishell1,sample_010,-1,0.28897752127904647,7.226756464821024,0.28897823660527383,-1.0750381117114869e-05,ok,
pure_periodic_mirror_error,4,librispeech_test_clean,sample_001,-1,15.809769194311388,394.98774570203375,15.80980829139404,-1.073995834498451e-05,ok,
pure_periodic_mirror_error,4,librispeech_test_clean,sample_002,-1,2.515696636814647,62.79665821822091,2.515702852617959,-1.0730569435732044e-05,ok,
pure_periodic_mirror_error,4,librispeech_test_clean,sample_003,-1,26.838710905553683,671.0116254218816,26.838777324315462,-1.0747634692674172e-05,ok,
pure_periodic_mirror_error,4,librispeech_test_clean,sample_004,-1,4.108426831087134,102.12200125970605,4.10843693943196,-1.0685338109004988e-05,ok,
pure_periodic_mirror_error,4,librispeech_test_clean,sample_005,-1,19.255728438048415,481.52606119897007,19.25577610095567,-1.0749898172527399e-05,ok,
pure_periodic_mirror_error,4,librispeech_test_clean,sample_006,-1,13.423753248778524,335.38480363295423,13.423786446181538,-1.0740238477020345e-05,ok,
pure_periodic_mirror_error,4,librispeech_test_clean,sample_007,-1,5.666512670421546,141.20037040354714,5.666526646861621,-1.071184989559786e-05,ok,
pure_periodic_mirror_error,4,librispeech_test_clean,sample_008,-1,14.093911696419312,353.10366876973774,14.093946647688906,-1.0769987088224927e-05,ok,
pure_periodic_mirror_error,4,librispeech_test_clean,sample_009,-1,9.407658206428,235.16117327686635,9.407681483392725,-1.0745548581529737e-05,ok,
pure_periodic_mirror_error,4,librispeech_test_clean,sample_010,-1,2.218563206222324,55.630606516055934,2.218568712708101,-1.0779198956243603e-05,ok,
pure_periodic_mirror_error,4,timit,sample_001,-1,1.6088152811064482,40.28695414913285,1.608819268831119,-1.0764720436389001e-05,ok,
pure_periodic_mirror_error,4,timit,sample_002,-1,0.6116191292135262,15.278584015351486,0.6116206415340244,-1.0738572484857997e-05,ok,
pure_periodic_mirror_error,4,timit,sample_003,-1,0.29462309680299714,7.406619209070241,0.294623829932579,-1.0806815189922855e-05,ok,
pure_periodic_mirror_error,4,timit,sample_004,-1,0.1869100113141387,4.672993168401532,0.18691047386114645,-1.0747490897592474e-05,ok,
pure_periodic_mirror_error,4,timit,sample_005,-1,0.1281397313796569,3.1687300924545587,0.1281400450301559,-1.0630310582741828e-05,ok,
pure_periodic_mirror_error,4,timit,sample_006,-1,0.18846394948968412,4.7031186876806235,0.1884644150186076,-1.0727589731716701e-05,ok,
pure_periodic_mirror_error,4,timit,sample_007,-1,0.1332746928293619,3.3086856937039393,0.13327502033308852,-1.067216014446872e-05,ok,
pure_periodic_mirror_error,4,timit,sample_008,-1,0.554527890577559,13.913023487987573,0.5545292677307285,-1.0785558124880367e-05,ok,
