case,period,row_count,utterance_count,seed_count,fraction_pooled,fraction_macro_mean,fraction_macro_median,fraction_macro_p05,fraction_macro_p95,error_share_db_pooled
pure_periodic_mirror_error,2,30,30,1,0.9999980000029769,0.9999980000009653,0.9999980000014597,0.9999979999964376,0.9999980000029156,-8.685885360735965e-06
pure_periodic_mirror_error,4,30,30,1,0.9999975256958622,0.9999975260996318,0.9999975254772204,0.9999975138418353,0.9999975412776482,-1.074577959542489e-05
pure_periodic_mirror_error,8,30,30,1,0.9999977838461654,0.999997798076558,0.9999977889149507,0.9999977395738512,0.9999979165096643,-9.624644444096464e-06
pure_periodic_mirror_error,16,30,30,1,0.9999978917857765,0.9999979104427127,0.9999978953435993,0.9999978300370126,0.9999980477965157,-9.155867656036413e-06
rms_matched_gaussian_prediction,2,150,30,5,3.7176210795925484e-06,7.753557504657895e-06,3.0138591376119525e-06,2.1618456721332016e-08,3.32607435052061e-05,-54.29734877989199
rms_matched_gaussian_prediction,4,150,30,5,1.793162867330009e-05,5.7786162041760725e-05,2.2570445073283434e-05,2.669057124896839e-06,0.0002098591297863973,-47.46380263046966
rms_matched_gaussian_prediction,8,150,30,5,0.00014847656735086053,0.0005277828065896401,0.00011377055438668587,2.26991934297042e-05,0.0027299486626100205,-38.28342081519868
rms_matched_gaussian_prediction,16,150,30,5,0.0004324318233523048,0.0012828305642147541,0.0003978728483398415,8.929156926418784e-05,0.004646446185149509,-33.64082353114289
